id,roleId,brandName,yn
3724,1158,水乡故事,1
3730,1162,外交官,1
3745,1168,乐途,1
3746,1168,李宁,1
3747,1169, 维多利亚十字勋章,1
3748,1169,法国大使,1
3749,1169,乐渡,1
3750,1169,维多利亚,1
3751,1169,维多利亚十字勋章,1
3754,1171,ELLE,1
3755,1171,ELLE GIRL,1
3762,1174,诺浦敦,1
3763,1178, RICARDO,1
3764,1178,COTS,1
3765,1178,Highland ,1
3766,1178,NBA,1
3767,1178,RICARDO,1
3768,1178,Swisswin,1
3769,1178,瑞士,1
3770,1179,天盾,1
3781,1183,贝格斯瑞,1
3808,1185,英牌,1
3813,1188,希伯莱,1
3826,1192,迪柯德,1
3827,1192,美国迪柯德,1
3828,1192,美国森泰斯,1
3829,1192,森泰斯,1
3833,1195,宾格,1
3834,1195,宾利,1
3835,1196,贝妮兔,1
3838,1199,MI PI,1
3839,1199,Mi Piaci,1
3840,1199,伯勒仕,1
3841,1200,GALADAY,1
3842,1200,佳连威,1
3858,1203,户外大师,1
3859,1204,メ-カMackar,1
3860,1204,鲍斯辛格,1
3861,1204,卡尼威,1
3862,1204,奴曼妮,1
3863,1204,睿库,1
3864,1204,源动力,1
3865,1204,源动力(Top power),1
3866,1205,迪琴,1
3867,1207, 维多利亚十字勋章,1
3868,1207,高尔夫,1
3906,1210,艾米尼,1
3907,1210,保罗,1
3908,1210,保罗POLO,1
3909,1210,宾利,1
3910,1210,波士伦特,1
3911,1210,法国老人头,1
3912,1210,国际收藏协会,1
3913,1210,蓝威盾,1
3914,1210,老人头,1
3915,1210,李宁,1
3916,1210,力开力朗,1
3917,1210,联想,1
3918,1210,骆驼,1
3919,1210,美国苹果,1
3920,1210,纽曼,1
3921,1210,苹果,1
3922,1210,威斌,1
3923,1210,意大利宾利,1
3945,1214,欧森,1
3946,1214,森腾,1
3983,1219,富安娜,1
3984,1219,圣之花,1
3985,1219,馨而乐,1
3986,1220,艾维,1
3987,1220,喜布诺,1
4020,1222,Spalding ,1
4021,1222,斯伯丁,1
4078,1226,SKINS,1
4079,1226,思金斯,1
4113,961, NAPOLEX ,1
4114,961,AUTOSOL,1
4115,961,BROADWAY,1
4116,961,CARALL,1
4117,961,CMI,1
4118,961,DECO-PIN,1
4119,961,EXOS,1
4120,961,MOST MARK,1
4121,961,NAPOLEX ,1
4122,961,S．T．CORPORATION,1
4123,961,SOFT99,1
4124,961,STP,1
4125,961,SWIPE,1
4126,961,WHIZ,1
4127,961,卡饰社,1
4128,961,牛魔王,1
4129,961,欧德素,1
4130,961,威宝,1
4131,961,威士,1
4132,961,吸水王,1
4133,961,香必飘,1
4134,962, NAPOLEX ,1
