id,name,operator,updateTime,createTime,yn,providerId
139,bjwlu,日百食品饮料管理员,2011-11-07 15:46:27.807,2011-11-07 15:46:27.807,0,1
140,bjxxl,日百个护化妆管理员,2011-11-07 15:49:55.370,2011-11-07 15:49:55.370,1,1
141,bjliulu,日百奢侈品管理员,2011-11-07 15:56:36.570,2011-11-07 15:53:57.607,1,1
142,Bjli,日百厨具管理员,2011-11-07 15:57:03.917,2011-11-07 15:57:03.917,1,1
143,bjlij1,日百运动户外管理员,2011-11-07 15:59:26.240,2011-11-07 15:59:26.240,1,1
144,bjcxj,日百营养保健管理员,2011-11-07 16:01:36.583,2011-11-07 16:01:36.583,1,1
145,bjxyjian,日百钟表管理员,2011-11-07 16:04:24.917,2011-11-07 16:04:24.917,1,1
146,联想管理员,,2011-11-08 10:01:35.973,2011-11-08 10:01:35.973,1,117
147,纽曼管理员,,2011-11-08 10:07:22.120,2011-11-08 10:07:22.120,1,118
148,首信管理员,,2011-11-08 10:13:16.213,2011-11-08 10:13:16.213,1,119
149,金立,,2011-11-08 10:20:09.287,2011-11-08 10:20:09.287,1,120
150,三合管理员,,2011-11-08 10:46:10.533,2011-11-08 10:46:10.533,1,121
151,胜音/深飞管理员,,2011-11-10 09:51:16.730,2011-11-08 10:51:30.187,1,122
152,天语管理员,,2011-11-08 10:54:21.510,2011-11-08 10:54:21.510,1,123
153,奥普管理员,奥普管理员,2011-12-05 18:26:27.720,2011-11-08 15:12:04.853,1,124
154,雅之鼎卫浴管理员,,2011-11-08 15:26:10.743,2011-11-08 15:26:10.743,1,125
155,北京新歌时代商贸有限责任公司,北京新歌时代商贸有限责任公司,2011-11-09 09:53:47.200,2011-11-09 09:53:47.200,0,1
156,方太管理员,,2011-11-09 10:16:08.943,2011-11-09 10:16:08.943,1,126
157,bjwgr,日百礼品箱包管理员,2011-11-09 16:23:57.170,2011-11-09 16:23:57.170,1,1
158,品胜管理员,,2011-11-10 09:16:08.763,2011-11-10 09:16:08.763,1,127
159,南通高川管理员,,2011-11-10 09:21:40.917,2011-11-10 09:21:40.917,1,128
160,chaxun999,销量/库存/产品管理,2011-11-16 17:44:38.747,2011-11-16 17:41:58.133,0,73
161,PTC-jsshdz,销量/库存/产品管理,2011-11-24 11:23:05.597,2011-11-16 17:46:24.383,1,73
162,奥克斯空调管理员,宁波奥克斯空调有限公司,2012-04-10 13:41:49.680,2011-11-16 19:48:07.593,1,129
163,jsshdz2,查询2,2011-11-21 16:20:25.947,2011-11-21 16:19:32.887,0,73
164,bjbaixue,图书部门管理员,2011-11-21 17:24:27.050,2011-11-21 17:24:27.050,1,1
165,北京朗万管理员,北京朗万管理员,2011-11-22 10:44:19.783,2011-11-22 10:44:19.783,1,130
166,北京市志和管理员,北京市志和管理员,2011-11-22 13:03:37.167,2011-11-22 13:03:37.167,1,131
167,上海雅瀚管理员,上海雅瀚管理员,2011-11-22 13:10:11.693,2011-11-22 13:10:11.693,1,132
168,上海博翌管理员,上海博翌管理员,2011-11-22 13:20:47.513,2011-11-22 13:20:47.513,1,133
169,上海索炫管理员,上海索炫管理员,2011-11-22 13:22:33.950,2011-11-22 13:21:54.507,1,134
170,浙江富春江管理员,浙江富春江管理员,2011-11-22 13:25:10.010,2011-11-22 13:25:10.010,1,135
171,北京京南英管理员,北京京南英管理员,2011-11-22 13:31:34.163,2011-11-22 13:31:34.163,1,136
172,深圳市港基电管理员,深圳市港基电管理员,2011-11-22 13:34:13.003,2011-11-22 13:34:13.003,1,137
173,宁波乐歌管理员,宁波乐歌管理员,2011-11-22 13:36:08.350,2011-11-22 13:36:08.350,1,138
174,北京中和亿丰管理员,北京中和亿丰管理员,2011-11-22 13:39:10.633,2011-11-22 13:39:10.633,1,139
175,深圳市杰美特管理员,深圳市杰美特管理员,2011-11-22 13:41:55.553,2011-11-22 13:41:55.553,1,140
176,深圳市邦克仕管理员,深圳市邦克仕管理员,2011-11-22 13:43:09.337,2011-11-22 13:43:09.337,1,141
177,上海帕赛东工管理员,上海帕赛东工管理员,2011-11-22 13:46:28.513,2011-11-22 13:46:02.293,1,142
178,深圳华盛昌机械实业有限公司,管理员,2011-11-23 18:44:17.290,2011-11-23 18:44:17.290,0,1
179,深圳华盛昌机械实业有限公司,深圳华盛昌机械实业有限公司管理员,2011-11-29 18:19:04.603,2011-11-23 18:47:44.993,1,143
180,中和亿丰,中和亿丰,2011-11-23 20:56:11.763,2011-11-23 20:56:11.763,1,139
181,,,2011-11-25 19:41:01.157,2011-11-25 19:29:39.437,0,111
182,下单员,,2011-11-25 19:30:41.680,2011-11-25 19:30:41.680,0,111
183,中兴通讯管理员,中兴通讯管理员,2011-11-29 15:11:00.900,2011-11-29 15:11:00.900,1,107
184,中山市佳维商贸-香山管理员,香山管理员,2012-11-22 13:55:31.370,2011-11-30 15:12:56.467,1,144
185,北欧家庭电器管理员 ,北欧家庭电器管理员 ,2011-11-30 15:47:25.153,2011-11-30 15:47:25.153,1,145
186,华盛昌管理员,华盛昌管理员,2011-11-30 16:24:12.197,2011-11-30 16:24:12.197,1,143
187,诺基亚京东管理员111111111,诺基亚京东管理员1111111,2012-05-23 15:34:49.490,2011-12-01 10:01:40.823,1,146
188,诺基亚01号客服,诺基亚01号客服,2011-12-01 14:41:40.257,2011-12-01 14:37:24.393,0,146
189,诺基亚北京,诺基亚北京,2011-12-01 15:36:35.127,2011-12-01 14:41:58.493,0,146
190,诺基亚上海,诺基亚上海,2011-12-01 15:36:39.510,2011-12-01 14:42:11.110,0,146
191,诺基亚中国,诺基亚中国总经理,2011-12-01 14:43:19.967,2011-12-01 14:43:19.967,0,146
192,上海红心器具有限公司,上海红心器具有限公司管理员,2011-12-01 17:24:11.310,2011-12-01 17:24:11.310,1,147
193,海信科龙电器股份有限公司（海信）,海信科龙电器股份有限公司（海信）,2012-03-30 21:05:05.810,2011-12-01 18:57:40.933,1,148
194,合肥荣事达三洋电器股份有限公司,,2011-12-01 19:13:21.513,2011-12-01 19:13:21.513,1,149
195,浙江沁园水处理科技有限公司,浙江沁园水处理管理员,2011-12-02 10:40:54.933,2011-12-02 10:40:54.933,1,150
196,北京思锐韦尔-西门子助听器管理员,西门子助听器管理员,2012-11-30 18:15:44.040,2011-12-02 10:58:15.687,1,151
197,上海益金行工业科技有限公司,上海益金行工业科技有限公司管理员,2011-12-02 11:05:57.327,2011-12-02 11:05:57.327,1,152
198,广州市创业万盈-伟德管理员,伟德管理员,2012-12-04 17:16:17.290,2011-12-02 11:08:14.017,1,153
199,博世电动工具（中国）有限公司,博世电动工具管理员,2011-12-02 11:09:33.263,2011-12-02 11:09:33.263,1,154
200,欧普照明有限公司,欧普照明管理员,2011-12-02 11:12:21.007,2011-12-02 11:12:21.007,1,155
201,浙江艾威博尔工具有限公司,浙江艾威博尔工具有限公司管理员,2011-12-02 11:14:16.670,2011-12-02 11:14:16.670,1,156
202,上海赛拓五金工具有限公司,上海赛拓五金工具管理员,2011-12-02 11:15:42.200,2011-12-02 11:15:42.200,1,157
203,北京天域拓展经贸-西门子 潜水艇管理员,西门子 潜水艇管理员,2013-02-20 16:48:57.393,2011-12-02 11:20:01.997,1,158
204,北京广录天源经贸有限公司,北京广录天源-松下管理员,2011-12-02 11:24:50.103,2011-12-02 11:24:50.103,1,159
205,福州盈泰自动化科技有限公司,福州盈泰自动化科技有限公司管理员,2011-12-02 11:27:49.820,2011-12-02 11:27:49.820,1,160
206,力易得格林利工具（上海）有限公司,力易得格林利工具管理员,2011-12-02 11:32:11.987,2011-12-02 11:32:11.987,1,161
207,居家伴侣-西蒙管理员,西蒙管理员,2012-12-03 18:24:57.210,2011-12-02 11:33:43.430,1,162
