id,providerName,providerErpId,providerCode,createTime,updateTime,yn,OWN_SIGN,providerAccount,STS,DRES,GODS
92,北京六合圣利商贸有限责任公司,6826,bjlhsl,2011-09-20 11:07:05.340,2011-09-20 11:07:05.340,1,BASE,bjlhsl,B,B,B
93,深圳市伯尼实业有限公司,3794,shenzhenshbnshy,2011-09-20 11:12:33.403,2011-09-20 11:12:33.403,1,BASE,shenzhenshbnshy,B,B,B
94,北京九州信诚商贸有限公司,6907,bjjzxcsm,2011-09-20 11:21:58.050,2011-09-20 11:21:58.050,1,BASE,bjjzxcsm,B,B,B
95,北京欧玉美商贸有限公司,3085,bjoymsm,2011-09-20 11:23:17.713,2011-09-20 11:23:17.713,1,BASE,bjoymsm,B,B,B
96,北京兰城兴商贸有限公司,8074,bjlcx,2011-09-20 11:23:43.953,2011-09-20 11:23:43.953,1,BASE,bjlcx,B,B,B
97,北京蓓颜丽化妆品有限责任公司,5777,bjbylhzp,2011-09-20 11:24:09.763,2011-09-20 11:24:09.763,1,BASE,bjbylhzp,B,B,B
98,深圳市新贵实业有限公司,6012,szsxgsy,2011-09-20 14:18:12.573,2011-11-02 17:12:04.553,1,BASE,szsxgsy,B,B,B
99,北京市佳裕珩经贸有限公司,309,bjjyhjm,2011-09-20 14:23:52.753,2011-11-15 16:05:51.387,1,BASE,bjjyhjm,B,B,B
100,深圳市奥尼电子工业有限公司,4635,szandz,2011-09-20 14:26:47.193,2011-11-15 16:06:05.073,1,BASE,深圳市奥尼电子工业有限公司,B,B,B
101,广州市三堡电子技术有限公司,2333,gzsbdz,2011-09-20 14:30:06.750,2011-11-02 16:57:25.173,1,BASE,gzsbdz,B,B,B
102,上海杉地实业有限公司,6552,shsdsy,2011-09-20 14:36:55.483,2011-11-02 16:56:54.030,1,BASE,shsdsy,B,B,B
103,北京元和恒泰贸易有限公司,5664,bjyhht,2011-09-21 10:01:24.577,2011-09-21 10:01:24.577,1,BASE,bjyhht,B,B,B
104,飞利浦(中国)投资有限公司,3810,flpzgtz,2011-10-10 15:03:55.653,2011-10-10 15:03:55.653,1,BASE,flpzgtz,B,B,B
105,北京美的生活电器销售有限公司,11059,bjmd,2011-10-10 15:43:57.027,2011-10-10 15:43:57.027,1,BASE,bjmd,B,B,B
106,青岛聚鑫德贸易有限公司,760,qdjxd,2011-10-10 15:50:10.197,2011-10-10 15:50:10.197,1,BASE,qdjxd,B,B,B
107,中兴通讯股份有限公司,6611,zxtxgf,2011-10-20 11:19:44.510,2011-10-20 11:19:44.510,1,BASE,,B,B,B
108,北京中邮普泰移动通信设备有限责任公司 ,1911,bjzyptyd ,2011-10-24 13:35:16.120,2011-10-24 13:35:16.120,1,BASE,zxtxgf,B,B,B
109,乐金电子（中国）有限公司,542,ljdzzgyxgs,2011-10-25 13:44:35.727,2011-10-25 13:44:35.727,1,BASE,,B,B,B
110,北京亚都空气净化技术有限责任公司,11324,bjyd,2011-10-25 17:06:32.860,2011-10-25 17:06:32.860,1,BASE,bjydkqjhjsyxzrgs,B,B,B
111,上海飞科电器有限公司,8599,shfkdq,2011-10-27 10:47:24.277,2011-10-27 10:47:24.277,1,BASE,,B,B,B
112,浙江帅康营销有限公司,2536,zjsk,2011-10-28 15:12:46.790,2011-10-28 15:12:46.790,1,BASE,,B,B,B
113,东莞市泛立商贸拓展有限公司,3631,dgflsm,2011-11-01 15:00:38.140,2011-11-01 15:00:38.140,1,BASE,,B,B,B
114,中国石油化工股份有限公司长城润滑油分公司,10455,zgshcc,2011-11-01 15:09:39.283,2011-11-01 15:09:39.283,1,BASE,,B,B,B
115,广东东菱电器有限公司,7025,gddldq,2011-11-01 16:32:40.873,2011-11-01 16:32:40.873,1,BASE,,B,B,B
116,北京桑越海商贸有限责任公司,1049,bjsyh,2011-11-01 17:03:32.737,2011-11-01 17:03:32.737,1,BASE,,B,B,B
117,联想移动通信科技有限公司,2988,lxydtxkj,2011-11-08 09:59:45.457,2011-11-08 09:59:45.457,1,BASE,lxydtxkj,B,B,B
118,北京优星伟业数码科技有限公司,10676,bjyxwysm,2011-11-08 10:06:48.810,2011-11-08 10:06:48.810,1,BASE,bjyxwysm,B,B,B
119,上海尚格网络科技发展有限公司,47,shsgwl,2011-11-08 10:12:47.307,2011-11-08 10:12:47.307,1,BASE,shsgwl,B,B,B
120,北京金志鸿达商贸有限公司,3281,bjjzhdsm,2011-11-08 10:19:46.680,2011-11-08 10:19:46.680,1,BASE,bjjzhdsm,B,B,B
121,北京三合兴业数码科技有限公司,7275,bjshxy,2011-11-08 10:45:36.297,2011-11-08 10:45:36.297,1,BASE,bjshxy,B,B,B
122,北京中和恒利商贸有限公司,10672,bjzhhl,2011-11-08 10:50:25.530,2011-11-08 10:50:25.530,1,BASE,bjzhhl,B,B,B
123,北京天宇朗通通信设备股份有限公司,5990,bjtylt,2011-11-08 10:54:01.070,2011-11-08 10:54:01.070,1,BASE,bjtylt,B,B,B
124,杭州奥普电器有限公司北京分公司,462,hzapdq,2011-11-08 15:11:14.160,2011-11-08 15:11:14.160,1,BASE,hzapdq,B,B,B
125,北京雅之鼎卫浴设备有限公司,8016,bjyzd,2011-11-08 15:25:33.890,2011-11-08 15:25:33.890,1,BASE,bjyzd,B,B,B
126,宁波方太营销有限公司,8394,nbftyx,2011-11-09 10:15:08.653,2011-11-09 10:15:08.653,1,BASE,nbftyx,B,B,B
127,广东品胜电子股份有限公司,153,gdps,2011-11-10 09:15:48.013,2011-11-10 09:15:48.013,1,BASE,gdps,B,B,B
128,南通高川商贸有限公司,3602,ntgcsm,2011-11-10 09:21:16.010,2011-11-10 09:21:16.010,1,BASE,ntgcsm,B,B,B
129,宁波奥克斯空调有限公司,3622,nbakskt,2011-11-16 19:47:39.040,2011-11-16 19:47:39.040,1,BASE,nbakskt,B,B,B
130,北京朗万科技发展有限公司,5056,bjlwkj,2011-11-21 19:15:47.290,2011-11-21 19:15:47.290,1,BASE,bjlwkj,B,B,B
131,北京市志和众诚科技有限责任公司 ,138,bjzhzc,2011-11-21 19:19:26.693,2011-11-21 19:19:26.693,1,BASE,bjzhzc,B,B,B
132,上海雅瀚电子科技有限公司,441,shyh,2011-11-21 19:24:07.400,2011-11-21 19:24:07.400,1,BASE,shyh,B,B,B
133,上海博翌通讯设备有限公司,2700,shbltxsb,2011-11-22 13:19:06.703,2011-11-22 13:19:06.703,1,BASE,shbltxsb,B,B,B
134,上海索炫电脑系统有限公司 ,52,shsx,2011-11-22 13:21:18.633,2011-11-22 13:21:18.633,1,BASE,shsx,B,B,B
135,浙江富春江通信集团有限公司,9272,zjfcj,2011-11-22 13:23:13.210,2011-11-22 13:23:13.210,1,BASE,zjfcj,B,B,B
136,北京京南英商贸有限公司,370,bjjny,2011-11-22 13:28:51.083,2011-11-22 13:28:51.083,1,BASE,bjjny,B,B,B
137,深圳市港基电贸易有限公司,10071,szsgjd,2011-11-22 13:33:38.677,2011-11-22 13:33:38.677,1,BASE,szsgjd,B,B,B
138,宁波乐歌视讯科技股份有限公司,5143,nblgsx,2011-11-22 13:35:29.400,2011-11-22 13:35:29.400,1,BASE,nblgsx,B,B,B
139,北京中和亿丰电信设备有限公司,25,bjzhyf,2011-11-22 13:38:00.233,2011-11-22 13:38:00.233,1,BASE,bjzhyf,B,B,B
140,深圳市杰美特科技有限公司,9044,szsjmt,2011-11-22 13:40:59.783,2011-11-22 13:40:59.783,1,BASE,szsjmt,B,B,B
141,深圳市邦克仕科技有限公司,9626,szsbks,2011-11-22 13:42:39.430,2011-11-22 13:42:39.430,1,BASE,szsbks,B,B,B
142,上海帕赛东工贸有限公司,9045,shpsd,2011-11-22 13:44:55.097,2011-11-22 13:44:55.097,1,BASE,shpsd,B,B,B
143,深圳华盛昌机械实业有限公司,4439,szhsjx,2011-11-23 18:42:00.590,2011-11-23 18:42:00.590,1,BASE,szhsjx,B,N,N
144,中山市佳维商贸有限公司,7430,zssjwsm,2011-11-30 15:10:34.060,2011-11-30 15:10:34.060,1,BASE,zssjwsm,B,N,N
145,北欧家庭电器（天津）有限公司,11251,bojtdqtj,2011-11-30 15:46:29.737,2011-11-30 15:46:29.737,1,BASE,bojtdqtj,B,N,N
146,上海浦银通信集团有限公司,1079,shpy,2011-12-01 09:59:25.237,2011-12-01 09:59:25.237,1,BASE,shpy,B,B,B
147,上海红心器具有限公司,9993,shhxqj,2011-12-01 17:23:26.143,2011-12-01 17:23:26.143,1,BASE,shhxqj,B,N,N
148,海信科龙电器股份有限公司,3155,hxkldqgf,2011-12-01 18:42:57.970,2011-12-01 18:42:57.970,1,BASE,hxkldqgf,B,B,B
149,合肥荣事达三洋电器股份有限公司,515,hersdsy ,2011-12-01 19:12:18.853,2011-12-01 19:12:18.853,1,BASE,hersdsy,B,B,B
150,浙江沁园水处理科技有限公司,6640,zjqyscl,2011-12-02 10:40:15.070,2011-12-02 10:40:15.070,1,BASE,zjqyscl,B,N,N
151,北京思锐韦尔测控技术有限公司,394,bjsrwr,2011-12-02 10:57:26.700,2011-12-02 10:57:26.700,1,BASE,bjsrwr,B,N,N
152,上海益金行工业科技有限公司,7213,shyjhgy,2011-12-02 11:05:10.347,2011-12-02 11:05:10.347,1,BASE,shyjhgy,B,N,N
153,广州市创业万盈贸易有限公司,9995,gzscy,2011-12-02 11:07:35.977,2011-12-02 11:07:35.977,1,BASE,gzscy,B,N,N
154,博世电动工具（中国）有限公司,366,bsddgj,2011-12-02 11:08:58.410,2011-12-02 11:08:58.410,1,BASE,bsddgj,B,N,N
155,欧普照明有限公司,4334,opzm,2011-12-02 11:11:55.033,2011-12-02 11:11:55.033,1,BASE,opzm,B,N,N
156,浙江艾威博尔工具有限公司,10248,zjawbe,2011-12-02 11:13:48.007,2011-12-02 11:13:48.007,1,BASE,zjawbe,B,N,N
157,上海赛拓五金工具有限公司,10878,shstwj,2011-12-02 11:15:05.583,2011-12-02 11:15:05.583,1,BASE,shstwj,B,N,N
158,北京天域拓展经贸有限公司,2472,tytz,2011-12-02 11:19:32.800,2011-12-02 11:19:32.800,1,BASE,tytz,B,N,N
