id,userId,roleId,yn,createTime,updateTime
702,467,31,1,2011-12-12 14:23:52.780,NULL
703,199,31,1,2011-12-12 14:39:23.137,NULL
705,457,239,1,2011-12-12 15:06:58.860,NULL
706,470,257,1,2011-12-12 15:48:34.040,NULL
707,470,257,1,2011-12-12 15:48:44.693,NULL
708,18,239,1,2011-12-13 10:11:35.633,NULL
709,18,117,1,2011-12-13 13:30:29.903,NULL
710,18,240,1,2011-12-13 13:30:58.623,NULL
712,18,245,1,2011-12-13 13:31:48.067,NULL
713,18,237,1,2011-12-13 13:32:12.693,NULL
714,18,244,1,2011-12-13 13:32:12.693,NULL
715,18,251,1,2011-12-13 13:33:42.210,NULL
716,18,252,1,2011-12-13 13:33:55.840,NULL
717,18,255,1,2011-12-13 13:34:09.040,NULL
718,18,247,1,2011-12-14 09:50:22.637,NULL
719,18,241,1,2011-12-14 09:51:01.550,NULL
722,472,31,1,2011-12-15 11:47:07.503,NULL
723,473,31,1,2011-12-15 11:48:36.667,NULL
724,473,31,1,2011-12-15 11:50:50.157,NULL
725,475,31,1,2011-12-15 11:52:21.250,NULL
728,477,259,1,2011-12-16 13:51:51.277,NULL
730,30,238,1,2011-12-16 14:35:35.960,NULL
733,18,260,1,2011-12-16 16:25:28.687,NULL
734,18,261,1,2011-12-16 16:25:42.887,NULL
739,484,31,1,2011-12-19 14:04:23.747,NULL
740,484,31,1,2011-12-19 14:05:32.753,NULL
741,487,31,1,2011-12-19 14:08:51.503,NULL
743,489,31,1,2011-12-19 14:10:17.910,NULL
745,491,31,1,2011-12-19 14:12:23.200,NULL
746,492,31,1,2011-12-19 14:12:50.340,NULL
748,494,31,1,2011-12-19 14:14:13.467,NULL
754,500,31,1,2011-12-19 14:20:00.383,NULL
755,501,31,1,2011-12-19 14:21:10.167,NULL
757,503,31,1,2011-12-19 14:22:18.710,NULL
764,510,31,1,2011-12-19 14:30:59.827,NULL
771,517,31,1,2011-12-19 14:39:09.377,NULL
774,520,31,1,2011-12-19 14:40:38.630,NULL
775,521,31,1,2011-12-19 14:41:10.790,NULL
776,522,31,1,2011-12-19 14:41:45.130,NULL
777,523,31,1,2011-12-19 14:42:37.200,NULL
779,525,31,1,2011-12-19 14:45:22.510,NULL
780,526,31,1,2011-12-19 14:45:49.127,NULL
782,528,31,1,2011-12-19 14:52:07.140,NULL
785,532,31,1,2011-12-19 14:57:46.483,NULL
789,536,31,1,2011-12-19 15:00:45.380,NULL
790,537,31,1,2011-12-19 15:01:17.817,NULL
791,538,31,1,2011-12-19 15:01:42.103,NULL
792,539,31,1,2011-12-19 15:02:03.933,NULL
793,540,31,1,2011-12-19 15:02:27.420,NULL
794,541,31,1,2011-12-19 15:03:02.430,NULL
795,542,31,1,2011-12-19 15:04:42.037,NULL
797,544,31,1,2011-12-19 15:08:43.713,NULL
798,545,31,1,2011-12-19 15:13:59.437,NULL
805,552,31,1,2011-12-19 15:21:41.877,NULL
806,553,31,1,2011-12-19 15:22:07.460,NULL
809,556,31,1,2011-12-19 15:23:59.970,NULL
811,558,31,1,2011-12-19 15:25:05.490,NULL
812,559,31,1,2011-12-19 15:26:01.823,NULL
815,562,31,1,2011-12-19 15:28:44.610,NULL
816,563,31,1,2011-12-19 15:31:20.853,NULL
818,565,31,1,2011-12-19 15:33:45.820,NULL
819,566,31,1,2011-12-19 15:34:17.750,NULL
820,567,31,1,2011-12-19 15:34:48.600,NULL
821,568,31,1,2011-12-19 15:35:46.160,NULL
823,570,31,1,2011-12-19 15:36:40.470,NULL
824,571,31,1,2011-12-19 15:37:06.873,NULL
825,572,31,1,2011-12-19 15:37:34.523,NULL
826,573,31,1,2011-12-19 15:39:24.797,NULL
827,574,31,1,2011-12-19 15:39:49.553,NULL
830,577,31,1,2011-12-19 15:42:27.537,NULL
832,579,31,1,2011-12-19 15:43:17.503,NULL
834,581,31,1,2011-12-19 15:44:03.087,NULL
836,583,31,1,2011-12-19 15:44:51.227,NULL
839,586,31,1,2011-12-19 15:47:36.140,NULL
843,590,31,1,2011-12-19 15:51:37.263,NULL
844,591,31,1,2011-12-19 15:52:19.363,NULL
845,592,31,1,2011-12-19 15:52:42.773,NULL
846,592,31,1,2011-12-19 15:53:03.303,NULL
848,595,31,1,2011-12-19 15:54:48.413,NULL
853,600,31,1,2011-12-19 15:57:50.967,NULL
854,601,31,1,2011-12-19 16:17:38.490,NULL
855,601,31,1,2011-12-19 16:19:07.690,NULL
857,603,31,1,2011-12-19 16:20:21.423,NULL
858,604,31,1,2011-12-19 16:21:20.087,NULL
859,605,31,1,2011-12-19 16:28:23.583,NULL
864,610,31,1,2011-12-19 16:38:44.183,NULL
866,612,31,1,2011-12-19 16:57:40.093,NULL
867,613,31,1,2011-12-19 16:58:05.720,NULL
868,614,31,1,2011-12-19 17:02:09.423,NULL
869,614,31,1,2011-12-19 17:03:59.517,NULL
870,615,31,1,2011-12-19 17:04:25.757,NULL
871,616,31,1,2011-12-19 17:04:50.497,NULL
872,617,31,1,2011-12-19 17:05:58.693,NULL
873,618,31,1,2011-12-19 17:06:52.307,NULL
874,619,31,1,2011-12-19 17:07:15.677,NULL
877,621,31,1,2011-12-19 17:11:37.950,NULL
881,625,31,1,2011-12-19 17:16:17.297,NULL
882,626,31,1,2011-12-20 10:28:47.050,NULL
883,627,31,1,2011-12-20 10:29:10.137,NULL
884,628,31,1,2011-12-20 10:29:57.117,NULL
885,629,31,1,2011-12-20 10:30:25.670,NULL
886,630,31,1,2011-12-20 10:30:56.617,NULL
887,631,31,1,2011-12-20 10:31:47.470,NULL
888,632,31,1,2011-12-20 10:32:10.073,NULL
890,634,31,1,2011-12-20 10:33:00.067,NULL
892,636,31,1,2011-12-20 10:34:05.757,NULL
893,637,31,1,2011-12-20 10:34:28.420,NULL
895,639,31,1,2011-12-20 10:35:54.430,NULL
897,641,31,1,2011-12-20 10:38:53.670,NULL
898,642,31,1,2011-12-20 10:39:14.533,NULL
899,643,31,1,2011-12-20 11:17:02.443,NULL
904,648,31,1,2011-12-20 11:20:19.217,NULL
906,650,31,1,2011-12-20 11:21:09.953,NULL
908,652,31,1,2011-12-20 11:22:27.413,NULL
909,653,31,1,2011-12-20 11:23:22.073,NULL
910,654,31,1,2011-12-20 11:24:14.530,NULL
911,655,31,1,2011-12-20 11:24:56.043,NULL
916,660,31,1,2011-12-20 11:27:01.603,NULL
917,661,31,1,2011-12-20 11:27:30.367,NULL
918,662,31,1,2011-12-20 11:27:52.930,NULL
920,664,31,1,2011-12-20 11:28:38.930,NULL
922,666,31,1,2011-12-20 11:29:21.803,NULL
923,667,31,1,2011-12-20 11:29:48.970,NULL
924,668,31,1,2011-12-20 11:30:11.660,NULL
925,669,31,1,2011-12-20 11:30:39.400,NULL
926,670,31,1,2011-12-20 11:31:05.800,NULL
927,671,31,1,2011-12-20 11:36:29.877,NULL
928,672,31,1,2011-12-20 11:36:53.537,NULL
929,673,31,1,2011-12-20 11:37:14.357,NULL
930,674,31,1,2011-12-20 11:37:40.507,NULL
932,676,31,1,2011-12-20 14:22:09.130,NULL
933,677,31,1,2011-12-20 14:22:37.373,NULL
934,678,31,1,2011-12-20 14:23:03.220,NULL
938,682,31,1,2011-12-20 14:27:21.990,NULL
939,683,31,1,2011-12-20 14:27:45.490,NULL
940,684,31,1,2011-12-20 14:29:24.730,NULL
941,685,31,1,2011-12-20 14:32:14.187,NULL
942,686,31,1,2011-12-20 14:34:21.320,NULL
943,687,31,1,2011-12-20 14:35:08.903,NULL
944,688,31,1,2011-12-20 14:37:31.440,NULL
945,689,31,1,2011-12-20 14:43:08.850,NULL
949,693,31,1,2011-12-20 14:46:41.197,NULL
950,694,31,1,2011-12-20 14:47:11.017,NULL
951,695,31,1,2011-12-20 14:48:54.323,NULL
952,695,31,1,2011-12-20 14:51:06.550,NULL
953,696,31,1,2011-12-20 14:51:51.463,NULL
954,697,31,1,2011-12-20 14:53:10.637,NULL
957,700,31,1,2011-12-20 14:54:58.623,NULL
958,701,31,1,2011-12-20 14:55:23.780,NULL
959,702,31,1,2011-12-20 16:02:25.760,NULL
960,703,31,1,2011-12-20 16:03:33.797,NULL
961,704,31,1,2011-12-20 16:04:15.980,NULL
962,705,31,1,2011-12-20 16:05:59.317,NULL
963,706,31,1,2011-12-20 16:11:49.573,NULL
964,707,31,1,2011-12-20 16:12:12.127,NULL
966,709,31,1,2011-12-20 16:14:00.767,NULL
967,710,31,1,2011-12-20 16:14:23.903,NULL
968,711,31,1,2011-12-20 16:14:47.760,NULL
969,712,31,1,2011-12-20 16:15:12.780,NULL
971,714,31,1,2011-12-20 16:16:39.557,NULL
972,715,31,1,2011-12-20 16:17:05.097,NULL
973,716,31,1,2011-12-20 16:19:04.010,NULL
977,720,31,1,2011-12-20 16:22:14.877,NULL
978,721,31,1,2011-12-20 16:23:05.947,NULL
980,723,31,1,2011-12-20 16:24:09.293,NULL
981,724,31,1,2011-12-20 16:24:30.783,NULL
982,725,31,1,2011-12-20 16:25:52.607,NULL
983,726,31,1,2011-12-20 16:26:46.590,NULL
984,727,31,1,2011-12-20 16:40:01.237,NULL
985,728,31,1,2011-12-20 16:40:38.570,NULL
987,730,31,1,2011-12-20 16:57:31.670,NULL
